country,code,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Health: Total expenditure (% of GDP),Seats held by women in national parliaments %,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
afghanistan,AFG,652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,125,125,3.2,26.7,4,8.2,27.7,42,2.1,63,5
albania,ALB,28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,51.7,134,134,-0.1,57.4,2.2,5.9,22.9,130,28.2,84,36
algeria,DZA,2381741,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,50.5,160,161,2,70.7,2.8,7.2,31.6,135,0.8,5900,55
american samoa,ASM,199,56,278.2,103.6,,,,,,,112,112,-~0.0,87.2,-0.1,,,92,87.9,,
andorra,AND,468,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,88.6,,,-1.6,85.1,0.1,8.1,32.1,13,34,1,119
angola,AGO,1246700,29784,23.9,96.2,117955,3,4714.1,6.8,51.2,42,175,176,3.5,44.1,5,3.3,38.2,146,46.5,3902,25
anguilla,AIA,91,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,82,,,1.2,100,1.2,,,52,61.1,0,136
antigua and barbuda,ATG,442,102,231.8,92.3,1356,4.1,14764.5,1.9,18.3,79.8,88,88,1.1,23.8,-0.9,5.5,11.1,55,22.3,,84
argentina,ARG,2780400,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,66.2,119,119,1,91.8,1,4.8,38.9,256,10,3167,85
armenia,ARM,29743,2930,102.9,88.8,10529,3,3489.1,19,28.3,52.8,135,135,0.3,62.7,-0.1,4.5,9.9,114,11.7,48,46
aruba,ABW,180,105,584.8,90.4,2702,0.1,26005.4,0.5,15.4,84.1,,,0.5,41.5,-0.3,,,32,2.3,1,120
australia,AUS,7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,111,111,1.5,89.4,1.5,9.4,28.7,948,16.2,15282,222
austria,AUT,83871,8736,106,96.2,376967,1,44117.7,1.3,28.3,70.4,108,108,0.6,66,0.4,11.2,30.6,118,46.9,505,158
azerbaijan,AZE,86600,9828,118.9,99.3,53049,0.7,5438.7,6.7,49.9,43.4,131,136,1.3,54.6,1.6,6,16.8,97,13.5,2459,61
bahamas,BHS,13940,395,39.5,95.9,8854,-1.7,22817.2,1.6,12.7,85.7,132,132,1.4,82.9,1.5,7.7,13.2,86,51.4,0,90
bahrain,BHR,771,1493,1963.9,168.3,31126,2.9,22600.2,0.3,40.7,59,167,167,2,88.8,1.7,5,7.5,36,0.8,961,413
bangladesh,BGD,147570,164670,1265,101.7,194466,6.6,1207.9,15.5,28.1,56.3,141,140,1.2,34.3,3.6,2.8,20.3,151,11,1438,11
barbados,BRB,431,286,664.5,91.9,4385,0.9,15429.4,1.7,12.1,86.2,88,88,0.3,31.5,0.1,7.5,16.7,56,14.7,2,59
belarus,BLR,207600,9468,46.7,87,54609,-3.9,5750.8,7.5,38.9,53.6,122,122,,76.7,,5.7,34.5,25,42.5,155,122
belgium,BEL,30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,108,107,0.6,97.9,0.5,10.6,38,37,22.6,520,196
belize,BLZ,22966,375,16.4,99.2,1721,1.2,4789.4,14.6,18.5,66.9,97,97,2.2,44,1.9,5.8,9.4,117,60.1,9,36
benin,BEN,114763,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,51.9,152,158,2.8,44,3.7,4.6,7.2,88,38.7,96,17
bermuda,BMU,53,61,1227,91.4,5853,0.4,94399.9,0.7,5.3,94,115,115,-0.6,100,0.2,,,72,20,1,136
bhutan,BTN,38394,808,21.2,113.1,2074,5.2,2677.1,17.2,43.9,38.8,98,98,1.6,38.6,3.7,3.6,8.5,71,72,75,82
bolivia,BOL,1098581,11052,10.2,100.2,32998,4.8,3076.8,12.6,31,56.5,142,143,1.6,68.5,2.3,6.3,53.1,231,50.8,962,32
